category,title,status,file,source_url,bytes,sha256
robot_design,RoboMorph: Evolving Robot Morphology using Large Language Models,downloaded,robot_design/RoboMorph_Evolving_Robot_Morphology_using_Large_Language_Models.pdf,https://arxiv.org/pdf/2407.08626,4294098,263c1ccfaf2cffcb2bdba9e46dbbac43727d0ad8f13c5f3802a3ad94d48376e4
robot_design,RoboGrammar: Graph Grammar for Terrain-Optimized Robot Design,downloaded,robot_design/RoboGrammar_Graph_Grammar_for_Terrain_Optimized_Robot_Design.pdf,https://people.csail.mit.edu/jiex/papers/robogrammar/paper.pdf,19697556,c466d9c5f8e70b0c217a39d04588a0b53fed241c88cb27351f9e1093ba591e67
robot_design,GLSO: Grammar-guided Latent Space Optimization for Sample-efficient Robot Design Automation,downloaded,robot_design/GLSO_Grammar_guided_Latent_Space_Optimization_for_Sample_efficient_Robot_Design_Automation.pdf,https://arxiv.org/pdf/2209.11748,1152428,57746a7c9d2c57b4b4e8f6af78c027663ca69a4bbe59d87b0398dbb50586c8ce
robot_design,Text2Robot: Evolutionary Robot Design from Text Descriptions,downloaded,robot_design/Text2Robot_Evolutionary_Robot_Design_from_Text_Descriptions.pdf,https://arxiv.org/pdf/2406.19963,6346357,5174c6ba044985859d4c577f0a57ea04a23794e5dba27da08ecf748d182d17ec
robot_design,RoboMoRe: LLM-based Robot Co-design via Joint Optimization of Morphology and Reward,downloaded,robot_design/RoboMoRe_LLM_based_Robot_Co_design_via_Joint_Optimization_of_Morphology_and_Reward.pdf,https://arxiv.org/pdf/2506.00276,12330386,890e80d2b7a5221d2477cb1718b8098bf2251bdc24a17dcc194dfe1f93745c03
robot_design,"COSMIC: Concurrent Optimization of Structure, Material, and Integrated Control for Robotic Systems",downloaded,robot_design/COSMIC_Concurrent_Optimization_of_Structure_Material_and_Integrated_Control_for_Robotic_Syst.pdf,https://arxiv.org/pdf/2605.12654,10072012,bd948e34249721bba632932f2894cc863d3d6ca7a23a5f330fffeffa7e625989
control,X-WBC: A Cross-Embodiment Foundation Model for Humanoid Whole-Body Control,downloaded,control/X_WBC_A_Cross_Embodiment_Foundation_Model_for_Humanoid_Whole_Body_Control.pdf,https://arxiv.org/pdf/2609.15213,11350327,3f74f8375ad853f2946d8b5f4342f5c79add54116e2155da8641755b74194c09
control,BFM-Zero: A Promptable Behavioral Foundation Model for Humanoid Control Using Unsupervised Reinforcement Learning,downloaded,control/BFM_Zero_A_Promptable_Behavioral_Foundation_Model_for_Humanoid_Control_Using_Unsupervised_Re.pdf,https://arxiv.org/pdf/2511.04131,11200070,8073c48070bcd29dd2443df0b1c1d6e9ab389ecb14a2be3000b4abaa914dce78
control,Towards Embodiment Scaling Laws in Robot Locomotion,downloaded,control/Towards_Embodiment_Scaling_Laws_in_Robot_Locomotion.pdf,https://arxiv.org/pdf/2505.05753,22958830,e7bf8b5880d24d03365c048b08b6e281d6caa4e71cde5d7b13532ae9acfc7538
control,Toward Hardware-Agnostic Quadrupedal World Models via Morphology Conditioning,downloaded,control/Toward_Hardware_Agnostic_Quadrupedal_World_Models_via_Morphology_Conditioning.pdf,https://arxiv.org/pdf/2604.08780,35623413,38190d5664094740ed3484246e6647dfd75d261598ada21bf8ebcdff7f3c1261
